公历日期,星期,农历年,农历月,农历日,年干支,属相,闰月,月干支,日干支,节气,节气时间,公历节日,农历节日,特殊节日,数九数伏
2020/5/24,星期日,2020,闰四月,初二,庚子,鼠,4,辛巳,丁卯,,,,,,
2020/5/25,星期一,2020,闰四月,初三,庚子,鼠,4,辛巳,戊辰,,,,,,
2020/5/26,星期二,2020,闰四月,初四,庚子,鼠,4,辛巳,己巳,,,,,,
2020/5/27,星期三,2020,闰四月,初五,庚子,鼠,4,辛巳,庚午,,,,,,
2020/5/28,星期四,2020,闰四月,初六,庚子,鼠,4,辛巳,辛未,,,,,,
2020/5/29,星期五,2020,闰四月,初七,庚子,鼠,4,辛巳,壬申,,,,,,
2020/5/30,星期六,2020,闰四月,初八,庚子,鼠,4,辛巳,癸酉,,,,,,
2020/5/31,星期日,2020,闰四月,初九,庚子,鼠,4,辛巳,甲戌,,,,,,
2020/6/1,星期一,2020,闰四月,初十 ,庚子,鼠,4,辛巳,乙亥,,,儿童节,,,
2020/6/2,星期二,2020,闰四月,十一,庚子,鼠,4,辛巳,丙子,,,,,,
2020/6/3,星期三,2020,闰四月,十二,庚子,鼠,4,辛巳,丁丑,,,,,,
2020/6/4,星期四,2020,闰四月,十三,庚子,鼠,4,辛巳,戊寅,,,,,,
2020/6/5,星期五,2020,闰四月,十四,庚子,鼠,4,壬午,己卯,芒种,12:58:18,,,,
2020/6/6,星期六,2020,闰四月,十五,庚子,鼠,4,壬午,庚辰,,,,,,
2020/6/7,星期日,2020,闰四月,十六,庚子,鼠,4,壬午,辛巳,,,,,,
2020/6/8,星期一,2020,闰四月,十七,庚子,鼠,4,壬午,壬午,,,,,,
2020/6/9,星期二,2020,闰四月,十八,庚子,鼠,4,壬午,癸未,,,,,,
2020/6/10,星期三,2020,闰四月,十九,庚子,鼠,4,壬午,甲申,,,,,,
2020/6/11,星期四,2020,闰四月,二十,庚子,鼠,4,壬午,乙酉,,,,,,
2020/6/12,星期五,2020,闰四月,廿一,庚子,鼠,4,壬午,丙戌,,,,,,
2020/6/13,星期六,2020,闰四月,廿二,庚子,鼠,4,壬午,丁亥,,,,,,
2020/6/14,星期日,2020,闰四月,廿三,庚子,鼠,4,壬午,戊子,,,,,,
